               uid                |       mid        |                                                                                                                                       blog_content                                                                                                                                       
 02d506c4ae6ad371851a1a5ceeb4ee49 | 3860358529898622 | 【部落冲突】落间战争！在战争中碾碎敌人的部落吧！率领您的部落从胜利走向胜利！部落冲突（Clash of Clans） 是一款划时代的战争策略游戏。快来建设您的村庄，训练您的军队和与来自世界各地的数千万玩家一起战斗吧！
 02d506c4ae6ad371851a1a5ceeb4ee49 | 3860358529898622 | 【部落冲突】落间战争！在战争中碾碎敌人的部落吧！率领您的部落从胜利走向胜利！部落冲突（Clash of Clans） 是一款划时代的战争策略游戏。快来建设您的村庄，训练您的军队和与来自世界各地的数千万玩家一起战斗吧！
 02d506c4ae6ad371851a1a5ceeb4ee49 | 3860358529898622 | 【部落冲突】落间战争！在战争中碾碎敌人的部落吧！率领您的部落从胜利走向胜利！部落冲突（Clash of Clans） 是一款划时代的战争策略游戏。快来建设您的村庄，训练您的军队和与来自世界各地的数千万玩家一起战斗吧！
 02d79ab017bca26ec5ed0f89437916f4 | 3860642740529712 | //@高密呼呼: //@平度刘兰香:只要无法无天君在郑州执政，当地百姓随时随刻发生灭顶之灾！抄送@中纪委。 //@朱孝顶律师:[话筒]//@梁宏刚律师:又是郑州航空港区，血淋淋的强拆，吴天君书记在你任期能否制约住下属的非法强拆行为？！郑州还需要多少百姓为拆迁而流血，丢命，拆迁依法进行就如此之难吗？！
 02d79ab017bca26ec5ed0f89437916f4 | 3860642740529712 | //@高密呼呼: //@平度刘兰香:只要无法无天君在郑州执政，当地百姓随时随刻发生灭顶之灾！抄送@中纪委。 //@朱孝顶律师:[话筒]//@梁宏刚律师:又是郑州航空港区，血淋淋的强拆，吴天君书记在你任期能否制约住下属的非法强拆行为？！郑州还需要多少百姓为拆迁而流血，丢命，拆迁依法进行就如此之难吗？！
 02d79ab017bca26ec5ed0f89437916f4 | 3860642740529712 | //@高密呼呼: //@平度刘兰香:只要无法无天君在郑州执政，当地百姓随时随刻发生灭顶之灾！抄送@中纪委。 //@朱孝顶律师:[话筒]//@梁宏刚律师:又是郑州航空港区，血淋淋的强拆，吴天君书记在你任期能否制约住下属的非法强拆行为？！郑州还需要多少百姓为拆迁而流血，丢命，拆迁依法进行就如此之难吗？！
 02d8347d3964f67d32ed0afeadc667cb | 3860615917731393 | 从根本上解决新股发行方式，一律以市值中签形式，无须散户用现金申购，以市值模似申购，中签后付教，这办法很大部份可以稳定散户的持股信心//【李大霄：周末救市措施比之前的加起来都给力】  
 02d8347d3964f67d32ed0afeadc667cb | 3860615917731393 | 从根本上解决新股发行方式，一律以市值中签形式，无须散户用现金申购，以市值模似申购，中签后付教，这办法很大部份可以稳定散户的持股信心//【李大霄：周末救市措施比之前的加起来都给力】  
 02d8347d3964f67d32ed0afeadc667cb | 3860615917731393 | 从根本上解决新股发行方式，一律以市值中签形式，无须散户用现金申购，以市值模似申购，中签后付教，这办法很大部份可以稳定散户的持股信心//【李大霄：周末救市措施比之前的加起来都给力】  
 02d902be96de6e24f9d2b628062da9d4 | 3860392776806454 | 【一导游在海南三亚海天大酒店泳池溺亡 赔偿没完没了】8月底，三亚山海天大酒店泳池淹死一名导游，近日，死者家属反映，时隔十日他们向酒店协商赔偿问题，但酒店方负责人一拖再拖。山海天酒店公关部经理郝某对此表示，等安监部门调查的结果出来才能处理赔偿问题。
 02d902be96de6e24f9d2b628062da9d4 | 3860392776806454 | 【一导游在海南三亚海天大酒店泳池溺亡 赔偿没完没了】8月底，三亚山海天大酒店泳池淹死一名导游，近日，死者家属反映，时隔十日他们向酒店协商赔偿问题，但酒店方负责人一拖再拖。山海天酒店公关部经理郝某对此表示，等安监部门调查的结果出来才能处理赔偿问题。
 02db56fe1eedf0d06488fd14645a1c2c | 3860458454940180 | 【传部分券商今日停止融券交易一天】据知情人士透露，部分券商今日将停止融券交易一天。 证监会新闻发言人张晓军2日晚间表示，根据证券和期货交易所市场监察异动报告，证监会决定组织稽查执法力量对涉嫌市场操纵，特别是跨市场操纵的违法违规线索进行专项核查。
 02db56fe1eedf0d06488fd14645a1c2c | 3860548594947698 | 今日大盘继续震荡探底收中阴线，两个小板比主板抗跌，收盘大盘跌226点报收3686点，创业板指跌1.66%报收2605点，中小板指跌4.42%报收8068点；35家涨停，1434家跌停；摘帽概念、多元金融 ...(发自@微博桌面 
 02db56fe1eedf0d06488fd14645a1c2c | 3860510128889934 | 【南方基金：A股必将凤凰涅槃 浴火重生】近期，我国股市大幅震荡，这是市场极端情况下的短期现象。一般地，正常的市场下跌30%已是极限，现在继续做空看空风险巨大，极度悲观的情绪不可持续，随时可能发生逆转，重回上升通道。
 02db56fe1eedf0d06488fd14645a1c2c | 3860548624076989 | 今日大盘继续震荡探底收中阴线，两个小板比主板抗跌，收盘大盘跌226点报收3686点，创业板指跌1.66%报收2605点，中小板指跌4.42%报收8068点；35家涨停，1434家跌停；摘帽概念、多元金融 ...(发自@微博桌面 
 02db56fe1eedf0d06488fd14645a1c2c | 3860473479100319 | 【路透：中金所临时暂停19个卖空账户】 据路透援引两位消息人士报道，中国金融期货交易所已暂停了19个帐户开期指空仓，期限为一个月。中金所相关人士表示，目前正常的期指交易不受影响，没有限制。
 02db56fe1eedf0d06488fd14645a1c2c | 3860471541321560 | 空方宣泄结束了，剩余时间应该开始反弹了，再不反弹真没救了！
 02db56fe1eedf0d06488fd14645a1c2c | 3860458454940180 | 【传部分券商今日停止融券交易一天】据知情人士透露，部分券商今日将停止融券交易一天。 证监会新闻发言人张晓军2日晚间表示，根据证券和期货交易所市场监察异动报告，证监会决定组织稽查执法力量对涉嫌市场操纵，特别是跨市场操纵的违法违规线索进行专项核查。
 02db56fe1eedf0d06488fd14645a1c2c | 3860548594947698 | 今日大盘继续震荡探底收中阴线，两个小板比主板抗跌，收盘大盘跌226点报收3686点，创业板指跌1.66%报收2605点，中小板指跌4.42%报收8068点；35家涨停，1434家跌停；摘帽概念、多元金融 ...(发自@微博桌面 
